rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
285;2;LICEO BICENTENARIO MARTA NAREA DIAZ;2;DE ANTOFAGASTA;21;ANTOFAGASTA;2101;ANTOFAGASTA;21;Antofagasta;1;1;2;1;75;80;223;222;-4;5;-17;-22;0;0;-1;-1;;;;;76.0;18.7;5.3;75.0;21.3;3.8;0;20240418;final20240418v1;2m;2023
13352;3;LICEO POLIV.PADRE JOSE HERDE P-LHER;4;DE COQUIMBO;42;CHOAPA;4202;CANELA;43;Choapa;2;1;1;1;70;66;210;235;-24;-13;-17;8;-1;0;-1;0;;;;;78.6;17.1;4.3;62.1;28.8;9.1;0;20240418;final20240418v1;2m;2023
12024;3;THE WESSEX SCHOOL;8;DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;83;Concepcion;4;3;5;1;33;35;273;283;-16;-37;-13;-40;-1;-1;-1;-1;;;;;27.3;30.3;42.4;22.9;45.7;31.4;0;20240418;final20240418v1;2m;2023
24759;6;ESC.NUESTRA SENORA DEL CARMEN DE CURACAV;13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13503;CURACAVÍ;135;Talagante;3;2;3;1;32;32;271;271;12;21;15;7;0;1;1;0;;;;;21.9;53.1;25.0;40.6;40.6;18.8;0;20240418;final20240418v1;2m;2023
25091;0;ESC. BASICA BOSTON COLLEGE MAIPU;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13119;MAIPÚ;134;Poniente;3;2;3;1;149;154;247;259;18;10;-9;-5;1;0;-1;0;;;;;50.3;37.6;12.1;45.5;42.2;12.3;0;20240418;final20240418v1;2m;2023
4530;6;INSTITUTO SAN SEBASTIÁN BÁSICO.;8;DEL BIOBÍO;83;BIOBÍO;8313;YUMBEL;82;Bio Bio;3;2;3;1;71;70;267;264;3;-11;11;0;0;0;1;0;;;;;28.2;43.7;28.2;44.3;35.7;20.0;0;20240418;final20240418v1;2m;2023
3202;6;COLEGIO SAN ALBERTO HURTADO;7;DEL MAULE;71;TALCA;7102;CONSTITUCIÓN;72;Talca;3;2;3;1;97;99;274;297;7;9;18;33;0;0;1;1;;;;;25.8;44.3;29.9;17.2;55.6;27.3;0;20240418;final20240418v1;2m;2023
4553;5;LICEO DE NIÑAS;8;DEL BIOBÍO;81;CONCEPCIÓN;8101;CONCEPCIÓN;83;Concepcion;6;4;2;1;71;77;240;232;6;-5;0;-12;0;0;0;-1;;;;;53.5;33.8;12.7;63.6;27.3;9.1;0;20240418;final20240418v1;2m;2023
14703;6;THE KINGSTOWN SCHOOL;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;3;2;3;1;54;62;251;267;-6;6;-5;3;0;0;0;0;;;;;46.3;35.2;18.5;41.9;32.3;25.8;0;20240418;final20240418v1;2m;2023
31042;5;COLEGIO SAN ANDRES DE CALERA DE TANGO;13;METROPOLITANA DE SANTIAGO;134;MAIPO;13403;CALERA DE TANGO;132;Sur;4;3;5;1;15;15;278;308;-3;12;-8;-15;0;0;0;-1;;;;;20.0;46.7;33.3;13.3;46.7;40.0;0;20240418;final20240418v1;2m;2023
